date,total_confirm,total_suspect,total_heal,total_dead,total_severe,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,name
2020-03-03,1,0,0,0,0,1,0,0,0,,,突尼斯
2020-03-08,2,0,0,0,0,1,0,0,0,0,,突尼斯
2020-03-09,5,0,0,0,0,3,0,0,0,0,,突尼斯
2020-03-11,7,0,0,0,0,2,0,0,0,0,,突尼斯
2020-03-12,13,0,0,0,0,6,0,0,0,0,,突尼斯
2020-03-13,16,0,0,0,0,3,0,0,0,0,,突尼斯
2020-03-14,18,0,0,0,0,2,0,0,0,0,,突尼斯
2020-03-15,20,0,0,0,0,2,0,0,0,0,,突尼斯
2020-03-17,24,0,0,0,0,4,0,0,0,0,,突尼斯
2020-03-19,39,0,0,0,0,15,0,0,0,0,,突尼斯
2020-03-20,54,0,0,0,0,15,0,0,0,0,,突尼斯
2020-03-21,60,0,0,1,0,6,0,0,1,0,,突尼斯
2020-03-22,75,0,0,3,0,15,0,0,2,0,,突尼斯
2020-03-23,89,0,0,3,0,14,0,0,0,0,,突尼斯
2020-03-24,114,0,0,3,0,25,0,0,0,0,,突尼斯
2020-03-25,173,0,0,5,0,59,0,0,2,0,,突尼斯
2020-03-26,197,0,2,5,0,24,0,2,0,0,,突尼斯
2020-03-27,227,0,2,6,0,30,0,0,1,0,,突尼斯
2020-03-28,278,0,2,6,0,51,0,0,0,0,,突尼斯
2020-03-29,362,0,3,8,0,84,0,1,2,0,,突尼斯
2020-03-31,394,0,3,10,0,32,0,0,2,0,,突尼斯
2020-04-01,423,0,3,12,0,29,0,0,2,0,,突尼斯
2020-04-02,455,0,3,14,0,32,0,0,2,0,,突尼斯
2020-04-04,495,0,5,18,0,40,0,2,4,0,,突尼斯
2020-03-09,2,0,0,0,0,2,0,0,0,0,,塞尔维亚
2020-03-10,5,0,0,0,0,3,0,0,0,0,,塞尔维亚
2020-03-11,12,0,0,0,0,7,0,0,0,0,,塞尔维亚
2020-03-12,24,0,0,0,0,12,0,0,0,0,,塞尔维亚
2020-03-13,35,0,0,0,0,11,0,0,0,0,,塞尔维亚
