id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
9577772,2020/4/4,突尼斯,495,0,5,18,0,,40,0,2,4,0,,
9507896,2020/4/4,塞尔维亚,1476,0,0,89,0,,,,,,,,
0,2020/4/4,中国,82899,0,76992,3335,0,888,97,0,207,4,0,,18
1,2020/4/4,日本,4072,0,1133,89,0,,209,,0,0,,,
2,2020/4/4,泰国,2067,0,612,20,0,,89,0,31,1,0,,
3,2020/4/4,新加坡,1114,0,266,5,0,,,,,,,,
4,2020/4/4,韩国,10156,0,6021,174,0,,94,,0,0,,,
5,2020/4/4,澳大利亚,5548,0,701,30,0,,218,0,52,2,0,,
6,2020/4/4,德国,91589,0,24575,1293,0,0,4345,0,0,155,0,,0
7,2020/4/4,美国,278537,0,9920,7163,0,0,32879,,609,1094,,,
8,2020/4/4,马来西亚,3483,0,915,57,0,,150,0,88,4,0,,
9,2020/4/4,越南,240,0,90,0,0,,3,0,5,0,0,,
89566,2020/3/27,圣巴泰勒米,3,0,0,0,0,,,0,,,0,,
821,2020/4/4,肯尼亚,126,0,4,4,0,,4,0,0,1,0,,
826,2020/4/4,伊朗,55743,0,19736,3452,0,,2560,,1801,158,,,
827,2020/4/4,以色列,7589,0,427,42,0,,161,0,89,2,0,,
829,2020/4/4,黎巴嫩,520,0,50,17,0,,12,0,4,0,0,,
833,2020/4/4,克罗地亚,1079,0,88,8,0,,68,0,0,1,0,,
834,2020/4/4,奥地利,11781,0,2507,186,0,,398,0,485,18,0,,
835,2020/4/4,瑞士,20278,0,4846,604,0,,975,0,0,120,0,,
839,2020/4/4,希腊,1643,0,78,67,0,,30,0,36,8,0,,
95800,2020/4/4,毛里求斯,196,0,0,7,0,,10,0,0,0,0,,
845,2020/4/4,爱沙尼亚,1018,0,59,13,0,,57,0,11,1,0,,
846,2020/4/4,北马其顿,430,0,12,13,0,,101,0,0,6,0,,
850,2020/4/4,白俄罗斯,351,0,47,4,0,,,,,,,,
851,2020/4/4,立陶宛,771,0,7,10,0,,75,0,0,1,0,,
852,2020/4/4,阿塞拜疆,521,0,32,5,0,,78,0,0,0,0,,
875097,2020/3/31,美属维尔京群岛,19,0,0,0,0,,,0,,,0,,
95826,2020/4/1,蒙古,14,0,0,0,0,,,0,,,0,,
872,2020/4/4,乌克兰,1096,0,23,28,0,,24,0,1,1,0,,
874,2020/4/4,波兰,3503,0,116,73,0,,120,0,60,2,0,,
879,2020/4/4,波黑,616,0,27,19,0,,41,0,0,2,0,,
80902,2020/3/31,蒙特塞拉特,5,0,0,0,0,,,0,,,0,,
880,2020/4/4,南非,1505,0,45,9,0,,43,0,0,4,0,,
95198,2020/4/3,布隆迪,3,0,0,0,0,,,0,,,0,,
893,2020/4/4,马耳他,213,0,2,0,0,,11,0,0,0,0,,
896,2020/4/4,摩尔多瓦,591,0,22,8,0,,86,0,0,2,0,,
897,2020/4/4,保加利亚,498,0,34,15,0,,13,0,17,1,0,,
898,2020/4/4,孟加拉国,70,0,30,8,0,,9,0,4,2,0,,
899,2020/4/4,阿尔巴尼亚,333,0,99,18,0,,29,0,47,1,0,,
950000,2020/4/4,巴勒斯坦,161,0,18,1,0,,1,0,0,0,0,,
953333,2020/4/4,阿富汗,299,0,10,7,0,,60,0,8,3,0,,
95888822,2020/4/4,沙特阿拉伯,2039,0,351,25,0,,,,,,,,
9511123,2020/4/4,新西兰,950,0,127,1,0,,178,0,24,0,0,,
83356,2020/3/27,泽西岛,18,0,0,0,0,,,0,,,0,,
954467,2020/4/3,叙利亚,16,0,0,2,0,,,0,,,0,,
95327,2020/4/4,巴拿马,1673,0,10,41,0,,492,0,1,11,0,,
95329,2020/4/4,古巴,269,0,15,6,0,,99,0,11,2,0,,
9511111,2020/4/4,尼日利亚,210,0,25,4,0,,20,0,5,2,0,,
95858585,2020/4/4,摩洛哥,858,0,62,50,0,,97,0,6,3,0,,
9500222,2020/4/4,塞内加尔,219,0,72,2,0,,12,0,6,1,0,,
95118,2020/3/31,老挝,9,0,0,0,0,,,0,,,0,,
95350,2020/3/31,巴哈马,14,0,1,0,0,,,0,,,0,,
84226,2020/3/27,马约特岛,30,0,0,0,0,,,0,,,0,,
954444,2020/4/4,斯洛文尼亚,977,0,70,22,0,,43,0,60,1,0,,
95103,2020/4/4,卢森堡,2612,0,174,31,0,,125,0,94,1,0,,
95106,2020/4/4,爱尔兰,4273,0,5,120,0,,424,0,0,22,0,,
95102,2020/4/4,厄瓜多尔,3368,0,71,145,0,,205,0,6,25,0,,
957777,2020/4/4,捷克,4190,0,72,53,0,,321,0,1,7,0,,
9522222,2020/4/4,匈牙利,678,0,58,32,0,,55,0,15,6,0,,
8101,2020/3/27,法属圭亚那,23,0,0,1,0,,,0,,,0,,
8102,2020/4/4,多哥共和国,40,0,17,3,0,,,,,,,,
8100,2020/4/4,哥斯达黎加,416,0,11,2,0,,69,0,7,0,0,,
8105,2020/4/4,文莱,135,0,66,1,0,,1,0,1,0,0,,
8103,2020/3/31,法罗群岛,159,0,0,0,0,,,0,,,0,,
8104,2020/3/31,马提尼克岛,91,0,0,1,0,,,0,,,0,,
95120,2020/4/4,荷兰,16725,0,260,1656,0,,904,0,0,164,0,,
951234567,2020/4/4,巴西,9216,0,127,365,0,,1306,0,0,66,0,,
8115,2020/4/4,洪都拉斯,264,0,3,15,0,,123,0,0,8,0,,
95394,2020/4/4,乌拉圭,386,0,68,4,0,,17,0,0,0,0,,
95390,2020/4/4,秘鲁,1595,0,537,61,0,,181,0,0,6,0,,
956666,2020/4/4,智利,3737,0,427,22,0,,333,0,92,4,0,,
95389,2020/3/19,格陵兰,1,0,0,0,0,,,0,,,0,,
95382,2020/3/7,圣巴托洛谬岛,1,0,0,0,0,,,0,,,0,,
950101010,2020/4/1,马尔代夫,18,0,13,0,0,,,0,,,0,,
